"UMO 9 PrintComp Test_DATE PRINTCOMP","PRT project for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","2013-09-17-00.00.00","2013-09-28-00.00.00","","2","2013-09-17-13.02.52","","","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000010","","","1","","","","2013-09-17-13.02.52","2013-09-17-13.02.52","","","","","2","0","","","","","0"
"UMO 9 PrintComp Test_DATE PRINTCOMP","PRT project for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","2013-09-17-00.00.00","2013-09-30-00.00.00","","2","2013-09-17-13.36.34","2","2013-09-17-13.53.03","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000011","","","1","","","","2013-09-17-13.36.35","2013-09-17-13.36.35","","","","","2","0","","","","","0"
"UMO 9 ECOMP Test_20130917","Test Project","DELETED","2014-01-01-00.00.00","2014-03-07-00.00.00","","2","2013-09-17-14.14.07","2","2013-09-17-14.21.10","","","","","NOT_STARTED","ecom","Email","","","PRJ01000012","","","1","","","","2013-09-17-14.14.40","2013-09-17-14.14.40","","","","","2","0","","","","","0"
"UMO 9 ECOMP Test_20130917","","DELETED","","","","2","2013-09-17-14.31.09","2","2013-09-17-14.57.47","","","","","NOT_STARTED","ecom","Email","","","PRJ01000013","","","1","","","","2013-09-17-14.31.09","2013-09-17-14.31.09","","","","","2","0","","","","","0"
"UMO 9 PrintComp Test_DATE PRINTCOMP","","DELETED","","","","2","2013-09-17-16.36.56","2","2013-09-17-17.24.43","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000014","","","1","","","","2013-09-17-17.24.43","2013-09-17-17.24.43","","","","","2","0","","","","","0"
"UMO 9 ECOMP Test 20130917","Test","DELETED","","","","2","2013-09-17-18.12.17","2","2013-09-17-18.26.47","","","","","NOT_STARTED","ecom","Email","","","PRJ01000015","","","1","","","","2013-09-17-19.37.45","2013-09-17-19.37.45","","","","","2","0","","","","","0"
"UMO 9 PrintComp Test_DATE PRINTCOMP","PRT project for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","","","","2","2013-09-17-18.53.52","2","2013-09-17-19.09.56","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000016","","","1","","","","2013-09-17-18.53.52","2013-09-17-18.53.52","","","","","2","0","","","","","0"
"UMO 9 PrintComp Test_DATE PRINTCOMP","","DELETED","","","","2","2013-09-17-19.41.51","2","2013-09-17-19.45.47","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000017","","","1","","","","2013-09-17-19.41.51","2013-09-17-19.41.51","","","","","2","0","","","","","0"
"UMO 9 ECOMP Test_20130917","Artour testing Project","DELETED","","","","2","2013-09-17-20.00.42","2","2013-09-19-17.39.40","","","","","NOT_STARTED","ecom","Email","","","PRJ01000018","","","1","","","","2013-09-20-15.33.47","2013-09-20-15.33.47","","","","","2","0","","","","","0"
"UMO 9 eSolo Test_DATE eSOLO","Solo e-mail for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","","","","2","2013-09-18-13.42.35","2","2013-09-18-14.10.27","","","","","NOT_STARTED","eso","Email","","","PRJ01000019","","","1","","","","2013-09-18-13.44.35","2013-09-18-13.44.35","","","","","2","0","","","","","0"
"UMO 9 eVehicule Test_DATE eVEHICULE","","DELETED","","","","2","2013-09-18-14.22.52","2","2013-09-18-14.24.24","","","","","NOT_STARTED","eve","Email","","","PRJ01000020","","","1","","","","2013-09-18-14.22.52","2013-09-18-14.22.52","","","","","2","0","","","","","0"
"UMO 9 eVehicule Test_DATE eVEHICULE","eNews e-mail for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","","","","2","2013-09-18-16.05.09","2","2013-09-18-16.05.34","","","","","NOT_STARTED","eve","Email","","","PRJ01000021","","","1","","","","2013-09-18-16.05.10","2013-09-18-16.05.10","","","","","2","0","","","","","0"
"UM  O 9      PrintComp      Test_DATE PRINTCOMP","","DELETED","","","","2","2013-09-18-16.22.55","2","2013-10-18-12.39.42","","","","","NOT_STARTED","prtcom","Print","","","PRJ01000022","","","1","","","1000053","2013-09-18-16.22.55","2013-09-18-16.22.55","","","","","2","0","","","","","0"
"UMO 9 PrintVeh Test_DATE PRINTVEH","NMF project for testing of the upgrade from Unica 7.5 to 9.0 between September 1st and December 31st, 2013.","DELETED","","","","2","2013-09-18-17.11.50","2","2013-10-21-14.54.28","","","","","CANCELLED","prtve","Print","","2013-09-18-17.13.07","PRJ01000023","","","1","","2013-10-21-14.54.28","1000041","2013-09-18-17.11.50","2013-09-18-17.11.50","","","","","2","0","HEALTHY","2013-10-21-14.54.28","0","","0"
"UMO 9 PrintStand Test 18092013","","DELETED","","","","2","2013-09-18-18.20.45","2","2013-10-17-16.08.16","","","","","IN_PROGRESS","prtst","Print","","2013-10-17-16.08.16","PRJ01000024","","","1","","","","2013-09-18-18.20.45","2013-09-18-18.20.45","","","","","2","0","UNKNOWN","2013-10-22-12.27.00","2.5","","0"
"fsadf","","DELETED","","","","2","2013-09-18-18.52.58","","","","","","","NOT_STARTED","eve","Email","","","PRJ01000025","","","1","","","","2013-09-18-18.52.58","2013-09-18-18.52.58","","","","","2","0","","","","","0"
"ergtfsadgf","","DELETED","","","","2","2013-09-18-19.11.58","","","","","","","NOT_STARTED","eve","Email","","","PRJ01000026","","","1","","","","2013-09-18-19.11.59","2013-09-18-19.11.59","","","","","2","0","","","","","0"
"fdsfads","","DELETED","","","","2","2013-09-18-19.33.21","","","","","","","NOT_STARTED","eve","Email","","","PRJ01000027","","","1","","","","2013-09-18-19.33.21","2013-09-18-19.33.21","","","","","2","0","","","","","0"
"UMO 9 Webup Test_18092013","Test","DELETED","","","","2","2013-09-18-20.31.51","","","","","","","NOT_STARTED","webupd","Email","","","PRJ01000028","","","1","","","","2013-09-18-20.31.51","2013-09-18-20.31.51","","","","","2","0","","","","","0"
"UMO 9 Webup Test 18092013","2Artour2","DELETED","","","","2","2013-09-18-20.40.44","","","","","","","NOT_STARTED","webupd","Email","","","PRJ01000029","","","1","","","","2013-09-18-20.40.44","2013-09-18-20.40.44","","","","","2","0","","","","","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
